"Date","Heure","Fuseau horaire","Description","Devise","Brut","Frais","Net","Solde","N° de transaction","De l'adresse email","Nom","Nom de la banque","Compte bancaire","Montant des frais de livraison et de traitement","TVA","Numéro de facture","Numéro de la transaction de référence"
"1/7/2020","04:05:42","America/Los_Angeles","Paiement express","USD","-59,30","0,00","-59,30","-59,30","2X3342507Y0204309","jeanlouis.garcia@globaltt.com","sa Global Telephone and  Telecommunication","","","0,00","0,00","",""
"1/7/2020","04:05:42","America/Los_Angeles","Conversion de devise standard","USD","59,30","0,00","59,30","0,00","62D98675XX822001N","","","","","0,00","0,00","","2X3342507Y0204309"
"1/17/2020","19:32:54","America/Los_Angeles","Paiement préapprouvé d'un utilisateur de facture de paiement","USD","-9,99","0,00","-9,99","-9,99","6837826109773941J","paypal_row@netflix.com","Netflix.com","","","0,00","0,00","34765144451","B-29C065641H103923F"
"1/17/2020","19:32:54","America/Los_Angeles","Conversion de devise standard","USD","9,99","0,00","9,99","0,00","6BE97116GS510645H","","","","","0,00","0,00","34765144451","6837826109773941J"
"2/7/2020","02:46:39","America/Los_Angeles","Paiement express","USD","-66,72","0,00","-66,72","-66,72","3GH48267E75382923","jeanlouis.garcia@globaltt.com","sa Global Telephone and  Telecommunication","","","0,00","0,00","",""
"2/7/2020","02:46:39","America/Los_Angeles","Conversion de devise standard","USD","66,72","0,00","66,72","0,00","26E34458NB366503G","","","","","0,00","0,00","","3GH48267E75382923"
"2/17/2020","05:10:25","America/Los_Angeles","Paiement express","USD","-66,72","0,00","-66,72","-66,72","70K946816F497914G","jeanlouis.garcia@globaltt.com","sa Global Telephone and  Telecommunication","","","0,00","0,00","",""
"2/17/2020","05:10:25","America/Los_Angeles","Conversion de devise standard","USD","66,72","0,00","66,72","0,00","9W349470P8902045H","","","","","0,00","0,00","","70K946816F497914G"
"2/17/2020","20:03:44","America/Los_Angeles","Paiement préapprouvé d'un utilisateur de facture de paiement","USD","-9,99","0,00","-9,99","-9,99","8NR99807XJ6941306","paypal_row@netflix.com","Netflix.com","","","0,00","0,00","35451235505","B-29C065641H103923F"
"2/17/2020","20:03:44","America/Los_Angeles","Conversion de devise standard","USD","9,99","0,00","9,99","0,00","1H515328EN8098329","","","","","0,00","0,00","35451235505","8NR99807XJ6941306"
"3/17/2020","20:28:20","America/Los_Angeles","Paiement préapprouvé d'un utilisateur de facture de paiement","USD","-9,99","0,00","-9,99","-9,99","9XE32146VW779344B","paypal_row@netflix.com","Netflix.com","","","0,00","0,00","36270377232","B-29C065641H103923F"
"3/17/2020","20:28:20","America/Los_Angeles","Conversion de devise standard","USD","9,99","0,00","9,99","0,00","31R64887JM577223T","","","","","0,00","0,00","36270377232","9XE32146VW779344B"
"3/18/2020","02:49:45","America/Los_Angeles","Paiement préapprouvé d'un utilisateur de facture de paiement","USD","-779,88","0,00","-779,88","-779,88","5GU79685561074054","paypal_noreply@linkedin.com","LinkedIn Ireland","","","0,00","0,00","5412056804","B-4B3974500E665061L"
"3/18/2020","02:49:45","America/Los_Angeles","Conversion de devise standard","USD","779,88","0,00","779,88","0,00","389475533H941440S","","","","","0,00","0,00","5412056804","5GU79685561074054"
"4/17/2020","20:57:32","America/Los_Angeles","Paiement préapprouvé d'un utilisateur de facture de paiement","USD","-9,99","0,00","-9,99","-9,99","1CH53916F6841905J","paypal_row@netflix.com","Netflix.com","","","0,00","0,00","37053491162","B-29C065641H103923F"
"4/17/2020","20:57:32","America/Los_Angeles","Conversion de devise standard","USD","9,99","0,00","9,99","0,00","07P73149HA819892G","","","","","0,00","0,00","37053491162","1CH53916F6841905J"
"5/7/2020","17:05:39","America/Los_Angeles","Paiement express","USD","-98,49","0,00","-98,49","-98,49","7NB9041222383220C","jeanlouis.garcia@globaltt.com","sa Global Telephone and  Telecommunication","","","0,00","0,00","",""
"5/7/2020","17:05:39","America/Los_Angeles","Conversion de devise standard","USD","98,49","0,00","98,49","0,00","7U108978VM142250L","","","","","0,00","0,00","","7NB9041222383220C"
"5/17/2020","20:33:20","America/Los_Angeles","Paiement préapprouvé d'un utilisateur de facture de paiement","USD","-9,99","0,00","-9,99","-9,99","80S79486LE5625823","paypal_row@netflix.com","Netflix.com","","","0,00","0,00","37890316242","B-29C065641H103923F"
